 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 10   # Spanwise =100     First strip =  1
     Surface area =    0.148910       Ave. chord =    0.136733
     CLsurf  =   1.10000     Clsurf  =   0.00000
     CYsurf  =  -0.00000     Cmsurf  =   0.63902
     CDsurf  =   0.04761     Cnsurf  =   0.00000
     CDisurf =   0.04761     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   1.10066     CDsurf  =   0.04764
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    61   0.1699   0.1550   0.0025   0.1781   0.0846   1.1548   1.1546   0.0541   0.0000   0.0034  -0.2839    0.247
    62   0.1862   0.1552   0.0025   0.1766   0.0854   1.1434   1.1433   0.0546   0.0000   0.0035  -0.2811    0.247
    63   0.2024   0.1553   0.0025   0.1750   0.0863   1.1322   1.1322   0.0549   0.0000   0.0035  -0.2782    0.247
    64   0.2183   0.1552   0.0025   0.1732   0.0871   1.1213   1.1212   0.0552   0.0000   0.0036  -0.2754    0.247
    65   0.2340   0.1549   0.0024   0.1713   0.0880   1.1107   1.1105   0.0555   0.0000   0.0037  -0.2727    0.247
    66   0.2495   0.1544   0.0024   0.1691   0.0888   1.1004   1.0999   0.0556   0.0000   0.0038  -0.2699    0.247
    67   0.2647   0.1537   0.0023   0.1668   0.0897   1.0904   1.0895   0.0558   0.0000   0.0040  -0.2671    0.246
    68   0.2797   0.1529   0.0023   0.1643   0.0905   1.0808   1.0794   0.0559   0.0000   0.0041  -0.2643    0.246
    69   0.2944   0.1518   0.0022   0.1617   0.0914   1.0716   1.0694   0.0559   0.0000   0.0043  -0.2615    0.246
    70   0.3088   0.1504   0.0021   0.1588   0.0922   1.0629   1.0597   0.0557   0.0000   0.0044  -0.2586    0.246
    71   0.3229   0.1489   0.0021   0.1557   0.0930   1.0547   1.0502   0.0556   0.0000   0.0046  -0.2557    0.246
    72   0.3366   0.1471   0.0020   0.1525   0.0938   1.0471   1.0410   0.0552   0.0000   0.0048  -0.2528    0.245
    73   0.3500   0.1450   0.0019   0.1491   0.0945   1.0400   1.0319   0.0549   0.0000   0.0051  -0.2499    0.245
    74   0.3631   0.1428   0.0018   0.1455   0.0953   1.0336   1.0231   0.0544   0.0000   0.0053  -0.2468    0.245
    75   0.3758   0.1403   0.0018   0.1418   0.0960   1.0280   1.0146   0.0539   0.0000   0.0055  -0.2437    0.245
    76   0.3881   0.1375   0.0017   0.1378   0.0967   1.0233   1.0063   0.0530   0.0000   0.0058  -0.2405    0.244
    77   0.4000   0.1345   0.0016   0.1337   0.0975   1.0197   0.9983   0.0521   0.0000   0.0062  -0.2370    0.244
    78   0.4115   0.1312   0.0015   0.1295   0.0982   1.0169   0.9906   0.0508   0.0000   0.0065  -0.2335    0.243
    79   0.4226   0.1277   0.0014   0.1250   0.0989   1.0156   0.9831   0.0496   0.0000   0.0069  -0.2298    0.243
    80   0.4333   0.1239   0.0013   0.1204   0.0995   1.0159   0.9760   0.0479   0.0000   0.0073  -0.2258    0.243
    81   0.4436   0.1199   0.0012   0.1157   0.1002   1.0175   0.9690   0.0460   0.0000   0.0078  -0.2217    0.242
    82   0.4534   0.1157   0.0011   0.1108   0.1009   1.0220   0.9623   0.0438   0.0000   0.0083  -0.2171    0.241
    83   0.4627   0.1112   0.0010   0.1057   0.1015   1.0281   0.9559   0.0410   0.0000   0.0089  -0.2121    0.241
    84   0.4716   0.1065   0.0009   0.1005   0.1022   1.0380   0.9497   0.0377   0.0000   0.0096  -0.2067    0.240
    85   0.4800   0.1015   0.0008   0.0952   0.1029   1.0500   0.9438   0.0339   0.0000   0.0104  -0.2009    0.239
    86   0.4879   0.0963   0.0007   0.0897   0.1036   1.0687   0.9381   0.0293   0.0000   0.0113  -0.1942    0.238
    87   0.4953   0.0910   0.0007   0.0842   0.1044   1.0912   0.9325   0.0237   0.0000   0.0124  -0.1870    0.237
    88   0.5022   0.0854   0.0006   0.0785   0.1051   1.1213   0.9268   0.0171   0.0000   0.0138  -0.1789    0.235
    89   0.5087   0.0797   0.0005   0.0727   0.1059   1.1603   0.9210   0.0088   0.0000   0.0154  -0.1699    0.233
    90   0.5146   0.0739   0.0004   0.0668   0.1069   1.2123   0.9149  -0.0013   0.0000   0.0173  -0.1597    0.231
    91   0.5200   0.0679   0.0003   0.0607   0.1078   1.2793   0.9082  -0.0137   0.0000   0.0198  -0.1484    0.228
    92   0.5248   0.0617   0.0003   0.0546   0.1089   1.3742   0.9005  -0.0299   0.0000   0.0229  -0.1353    0.225
    93   0.5292   0.0556   0.0002   0.0485   0.1101   1.4859   0.8905  -0.0497   0.0000   0.0270  -0.1216    0.220
    94   0.5330   0.0493   0.0002   0.0422   0.1112   1.6678   0.8773  -0.0765   0.0000   0.0322  -0.1051    0.213
    95   0.5363   0.0431   0.0001   0.0358   0.1124   1.8944   0.8583  -0.1113   0.0000   0.0393  -0.0878    0.204
    96   0.5390   0.0371   0.0001   0.0294   0.1135   2.2028   0.8278  -0.1577   0.0000   0.0483  -0.0690    0.192
    97   0.5412   0.0314   0.0001   0.0229   0.1145   2.4913   0.7733  -0.2141   0.0000   0.0586  -0.0504    0.174
    98   0.5428   0.0262   0.0000   0.0164   0.1149   3.0961   0.6818  -0.2960   0.0000   0.0671  -0.0294    0.152
    99   0.5439   0.0222   0.0000   0.0099   0.1160   2.2948   0.5030  -0.3355   0.0000   0.0633  -0.0156    0.124
   100   0.5445   0.0202   0.0000   0.0033   0.1177   0.8974   0.2048  -0.2484   0.0000   0.0276  -0.0045    0.115
 ---------------------------------------------------------------
